3938_3857_4522,損害額についてお打合せいたしました,時価額を提示いたしました（全損のため）,ご了承いただけませんでした
3938_3863_0,損害額についてお打合せいたしました,時価額超の修理費について対物超過特約をご説明しました,
3938_3871_0,損害額についてお打合せいたしました,全損となることをご連絡いたしました,
3938_3871_3867,損害額についてお打合せいたしました,全損となることをご連絡いたしました,弊社が全損車両を引き上げることについて、ご了承を得ました
3949_0_0,損害の確認についてお打合せいたしました,,
3949_3909_0,損害の確認についてお打合せいたしました,双方のお車とも、お相手方保険会社にて損害を確認いたします,
4113_3450_0,お問合せをいたしました,今後の方針について,
4236_0_0,お車は工場に入庫されないと確認いたしました,,
4236_4327_0,お車は工場に入庫されないと確認いたしました,ご請求されないことを確認いたしました,
4237_0_0,修理工場のご紹介について,,
4237_3219_0,修理工場のご紹介について,ご回答をお待ちしています,
4237_4521_0,修理工場のご紹介について,ご了承いただきました,
4237_4522_0,修理工場のご紹介について,ご了承いただけませんでした,
4237_4583_0,修理工場のご紹介について,工場からお引取りは可能との回答があり修理をお願いいたしました,
4243_0_0,お車は工場へ入庫済みであることを確認いたしました,,
4243_3208_0,お車は工場へ入庫済みであることを確認いたしました,概算修理費を確認いたしました,
4243_3258_0,お車は工場へ入庫済みであることを確認いたしました,車の損傷画像を送信（画像伝送）いただくようお願いいたしました,
4243_4137_0,お車は工場へ入庫済みであることを確認いたしました,弊社にて損害を確認することをお打合せいたしました,
4243_4249_0,お車は工場へ入庫済みであることを確認いたしました,入庫日を確認いたしました,
4243_4250_0,お車は工場へ入庫済みであることを確認いたしました,入庫方法は自走と確認いたしました,
4243_4251_0,お車は工場へ入庫済みであることを確認いたしました,入庫方法はレッカー搬送と確認いたしました,
4331_0_0,保険金のご請求意向を確認いたしました,,
4331_3327_0,保険金のご請求意向を確認いたしました,ご請求は金額判明次第ご検討いただくことといたしました,
4331_3327_4455,保険金のご請求意向を確認いたしました,ご請求は金額判明次第ご検討いただくことといたしました,無事故割引についてもあわせてご説明済みです
4331_3822_0,保険金のご請求意向を確認いたしました,ご請求されない旨確認いたしました,
4331_3822_3085,保険金のご請求意向を確認いたしました,ご請求されない旨確認いたしました,お相手方から賠償のご請求がないため
4331_3822_3099,保険金のご請求意向を確認いたしました,ご請求されない旨確認いたしました,お相手方より１００％の賠償を受けられるため
4331_3822_4117,保険金のご請求意向を確認いたしました,ご請求されない旨確認いたしました,等級ダウン（据置き）をしないようにするため
4331_3824_0,保険金のご請求意向を確認いたしました,ご請求される旨確認いたしました,
4331_3824_4455,保険金のご請求意向を確認いたしました,ご請求される旨確認いたしました,無事故割引についてもあわせてご説明済みです
4331_4767_0,保険金のご請求意向を確認いたしました,改めてご意向についてご確認後、ご連絡をお願いいたしました,
4331_4767_4455,保険金のご請求意向を確認いたしました,改めてご意向についてご確認後、ご連絡をお願いいたしました,無事故割引についてもあわせてご説明済みです
4448_0_0,お車はまだ工場に入庫されていないことを確認いたしました,,
4448_3970_0,お車はまだ工場に入庫されていないことを確認いたしました,代車手配でき次第入庫予定 入庫時にご連絡をお願いいたしました,
4448_4227_0,お車はまだ工場に入庫されていないことを確認いたしました,工場と、工場への入庫予定日が判明いたしました,
4448_4230_0,お車はまだ工場に入庫されていないことを確認いたしました,修理先が決まり次第ご連絡いただくようお願いいたしました,
4448_4241_0,お車はまだ工場に入庫されていないことを確認いたしました,工場へ入庫する際のご連絡をお願いいたしました,
4489_0_0,もらい事故アシストの対応についてお打合せいたしました,,
4548_0_0,レンタカー・代車についてお打合せいたしました,,
4548_3802_0,レンタカー・代車についてお打合せいたしました,ご請求を承りました,
4548_3802_3317,レンタカー・代車についてお打合せいたしました,ご請求を承りました,お仕事に使用されていましたので、賠償することで打合せました
4548_3802_4207,レンタカー・代車についてお打合せいたしました,ご請求を承りました,日常生活に支障が生じるため応諾いたしました
4548_3821_3310,レンタカー・代車についてお打合せいたしました,費用についてお打合せいたしました,ご了承いただきました
4548_4121_0,レンタカー・代車についてお打合せいたしました,修理工場にて手配されることを確認いたしました,
4548_4547_4277,レンタカー・代車についてお打合せいたしました,お届け先について,お届け先は修理工場です
4548_4553_0,レンタカー・代車についてお打合せいたしました,引き上げをお願いいたしました,
4548_6014_0,レンタカー・代車についてお打合せいたしました,現在のところご不要と確認いたしました,
4893_4142_0,弁護士（相談・委任）についてお打合せいたしました,弊社より弁護士を紹介差し上げる旨承りました,
6015_3451_0,今後のご連絡について,今後ご連絡を差し上げる際に窓口となる方について,
6015_3451_4422,今後のご連絡について,今後ご連絡を差し上げる際に窓口となる方について,窓口は運転者様となる旨お伺いいたしました
6015_3451_4428,今後のご連絡について,今後ご連絡を差し上げる際に窓口となる方について,窓口はお客様となる旨お伺いいたしました
6015_3451_4429,今後のご連絡について,今後ご連絡を差し上げる際に窓口となる方について,窓口は事故担当者様となる旨お伺いいたしました
6015_3451_4434,今後のご連絡について,今後ご連絡を差し上げる際に窓口となる方について,窓口は代理店さんとなる旨お伺いいたしました
6015_5201_0,今後のご連絡について,今後のご連絡先・ご連絡方法をお伺いいたしました,
6021_0_0,必要書類についてお打合せいたしました,,
6021_3764_0,必要書類についてお打合せいたしました,書類の記入方法について,
6021_4786_0,必要書類についてお打合せいたしました,送付先について,
